Epoch,3 Train Loss ,3 Train Acc,3 Vali. Acc,3 Time (s),3 Cosine,1 Train Loss,1 Train Acc,1 Vali. Acc,1 Time (s),1 Cosine
28700,0.376,0.8903,0.8778,56.9558,0,0.625,0.8333,0.8586,53.6988,0
28800,0.4946,0.8734,0.8808,56.7787,0,0.6452,0.8165,0.861,54.2992,0
28900,0.4351,0.8755,0.8779,56.0658,0,0.5691,0.8502,0.8636,53.4493,0
29000,0.4445,0.865,0.884,57.3573,0,0.6019,0.8207,0.8663,52.8078,0
29100,0.4398,0.8671,0.8822,54.7616,0,0.649,0.808,0.8607,53.2915,0
29200,0.4088,0.8755,0.8817,57.1767,0,0.5666,0.8418,0.8622,53.4713,0
29300,0.3834,0.8819,0.8828,56.5459,0,0.5698,0.8418,0.8623,53.5548,0
29400,0.525,0.8418,0.8849,56.4378,0,0.7107,0.8059,0.859,53.362,0
29500,0.4276,0.8734,0.8823,58.3622,0,0.6505,0.8101,0.8549,54.2336,0
29600,0.4303,0.8861,0.8857,57.7795,0,0.6775,0.8059,0.8545,54.9812,0
29700,0.4309,0.8819,0.8821,57.1599,0,0.6272,0.8249,0.8643,53.6831,0
29800,0.3624,0.8861,0.884,57.2628,0,0.6236,0.8333,0.8603,53.8045,0
29900,0.4339,0.8755,0.8824,56.2608,0,0.6116,0.8312,0.8663,55.2607,0
30000,0.4872,0.8523,0.8874,57.5805,0,0.6221,0.8291,0.8587,54.9284,0
30100,0.3891,0.8966,0.879,57.4595,0,0.6679,0.808,0.865,55.0867,0
